Drug 1,Drug 2,Interaction Description
Tretinoin,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Tretinoin.
Lansoprazole,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Lansoprazole.
Benzatropine,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Benzatropine.
Ramelteon,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Ramelteon.
Esomeprazole,Chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Esomeprazole.
Propranolol,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Propranolol.
Arformoterol,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Arformoterol.
Melatonin,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Melatonin.
Lidocaine,Sulfadiazine,The metabolism of Sulfadiazine can be decreased when combined with Lidocaine.
Famotidine,Lobeglitazone,The metabolism of Lobeglitazone can be decreased when combined with Famotidine.
Omeprazole,Armodafinil,The metabolism of Armodafinil can be decreased when combined with Omeprazole.
Ibuprofen,Lumacaftor,The serum concentration of Lumacaftor can be increased when it is combined with Ibuprofen.
Minoxidil,Terazosin,The risk or severity of adverse effects can be increased when Minoxidil is combined with Terazosin.
Pentobarbital,Nitroglycerin,Pentobarbital may increase the hypotensive activities of Nitroglycerin.
Arotinolol,Nitroglycerin,The risk or severity of adverse effects can be increased when Arotinolol is combined with Nitroglycerin.
Labetalol,Nitroglycerin,The risk or severity of adverse effects can be increased when Labetalol is combined with Nitroglycerin.
Methylphenobarbital,Minoxidil,Methylphenobarbital may increase the hypotensive activities of Minoxidil.
Olmesartan,Minoxidil,The risk or severity of adverse effects can be increased when Olmesartan is combined with Minoxidil.
Fluticasone propionate,Metyrosine,Fluticasone propionate may increase the sedative activities of Metyrosine.
Lidocaine,Dapiprazole,The risk or severity of adverse effects can be increased when Lidocaine is combined with Dapiprazole.
Lidocaine,Zotepine,The risk or severity of adverse effects can be increased when Lidocaine is combined with Zotepine.
Lidocaine,Thiopental,The risk or severity of adverse effects can be increased when Lidocaine is combined with Thiopental.
Loratadine,Vigabatrin,The risk or severity of adverse effects can be increased when Loratadine is combined with Vigabatrin.
Zuclopenthixol,Benzocaine,The risk or severity of adverse effects can be increased when Zuclopenthixol is combined with Benzocaine.
Buprenorphine,Benzocaine,Buprenorphine may increase the central nervous system depressant (CNS depressant) activities of Benzocaine.
Efavirenz,Dimenhydrinate,The risk or severity of adverse effects can be increased when Efavirenz is combined with Dimenhydrinate.
Amisulpride,Dimenhydrinate,The risk or severity of adverse effects can be increased when Amisulpride is combined with Dimenhydrinate.
Baclofen,Dimenhydrinate,The risk or severity of adverse effects can be increased when Baclofen is combined with Dimenhydrinate.
Nevirapine,Loratadine,The metabolism of Loratadine can be increased when combined with Nevirapine.
Bosutinib,Loratadine,The serum concentration of Loratadine can be increased when it is combined with Bosutinib.
Rilpivirine,Loratadine,The serum concentration of Loratadine can be increased when it is combined with Rilpivirine.
Ondansetron,Loratadine,The risk or severity of adverse effects can be increased when Ondansetron is combined with Loratadine.
Metamfetamine,Loratadine,Metamfetamine may decrease the sedative activities of Loratadine.
Butalbital,Loratadine,The risk or severity of adverse effects can be increased when Butalbital is combined with Loratadine.
Lidocaine,Loratadine,The risk or severity of adverse effects can be increased when Lidocaine is combined with Loratadine.
Salicylic acid,Nilvadipine,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Nilvadipine.
Salicylic acid,Efonidipine,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Efonidipine.
Estrone,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Estrone.
Methadone,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Methadone.
Salicylic acid,Benidipine,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Benidipine.
Salicylic acid,Eperisone,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Eperisone.
Salicylic acid,Amrinone,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Amrinone.
Topotecan,Acetaminophen,The serum concentration of Acetaminophen can be increased when it is combined with Topotecan.
Nevirapine,Caffeine,The metabolism of Caffeine can be increased when combined with Nevirapine.
Pergolide,Caffeine,The risk or severity of adverse effects can be increased when Pergolide is combined with Caffeine.
Levobupivacaine,Caffeine,The metabolism of Caffeine can be decreased when combined with Levobupivacaine.
Dinoprostone,Caffeine,The metabolism of Caffeine can be decreased when combined with Dinoprostone.
Flunitrazepam,Caffeine,The metabolism of Caffeine can be decreased when combined with Flunitrazepam.
Anagrelide,Famotidine,Anagrelide may increase the QTc-prolonging activities of Famotidine.
Promazine,Famotidine,Promazine may increase the QTc-prolonging activities of Famotidine.
Calcium carbonate,Sulpiride,The serum concentration of Sulpiride can be decreased when it is combined with Calcium carbonate.
Cortisone acetate,Danazol,Cortisone acetate may increase the fluid retaining activities of Danazol.
Clopidogrel,Methyl salicylate,The risk or severity of adverse effects can be increased when Clopidogrel is combined with Methyl salicylate.
Ethinylestradiol,Ascorbic acid,The serum concentration of Ascorbic acid can be increased when it is combined with Ethinylestradiol.
Quinidine,Calcium carbonate,Quinidine may decrease the excretion rate of Calcium carbonate which could result in a higher serum level.
Trovafloxacin,Magnesium hydroxide,Trovafloxacin can cause a decrease in the absorption of Magnesium hydroxide resulting in a reduced serum concentration and potentially a decrease in efficacy.
Iron sucrose,Magnesium hydroxide,Iron sucrose can cause a decrease in the absorption of Magnesium hydroxide resulting in a reduced serum concentration and potentially a decrease in efficacy.
Ferric pyrophosphate,Magnesium hydroxide,Ferric pyrophosphate can cause a decrease in the absorption of Magnesium hydroxide resulting in a reduced serum concentration and potentially a decrease in efficacy.
Bepridil,Magnesium hydroxide,The risk or severity of adverse effects can be increased when Bepridil is combined with Magnesium hydroxide.
Hydroxyamphetamine,Sodium bicarbonate,Hydroxyamphetamine may decrease the excretion rate of Sodium bicarbonate which could result in a higher serum level.
Chlortetracycline,Sodium bicarbonate,Chlortetracycline can cause a decrease in the absorption of Sodium bicarbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Ascorbic acid,Metamfetamine,The serum concentration of Metamfetamine can be decreased when it is combined with Ascorbic acid.
Ibuprofen,Trovafloxacin,Ibuprofen may increase the neuroexcitatory activities of Trovafloxacin.
Ibuprofen,Enoxacin,Ibuprofen may increase the neuroexcitatory activities of Enoxacin.
Methyl salicylate,Estrone sulfate,The risk or severity of adverse effects can be increased when Methyl salicylate is combined with Estrone sulfate.
Parecoxib,Cortisone acetate,The risk or severity of adverse effects can be increased when Parecoxib is combined with Cortisone acetate.
Aceclofenac,Cortisone acetate,The risk or severity of adverse effects can be increased when Aceclofenac is combined with Cortisone acetate.
Tromethamine,Cortisone acetate,The bioavailability of Cortisone acetate can be decreased when combined with Tromethamine.
Esomeprazole,Technetium Tc-99m medronate,The therapeutic efficacy of Technetium Tc-99m medronate can be decreased when used in combination with Esomeprazole.
Deferasirox,Fluticasone propionate,The serum concentration of Fluticasone propionate can be decreased when it is combined with Deferasirox.
Chloroquine,Fluticasone propionate,The risk or severity of adverse effects can be increased when Chloroquine is combined with Fluticasone propionate.
Etodolac,Fluticasone propionate,The risk or severity of adverse effects can be increased when Etodolac is combined with Fluticasone propionate.
Codeine,Fluticasone propionate,The risk or severity of adverse effects can be increased when Codeine is combined with Fluticasone propionate.
Magnesium oxide,Fluticasone propionate,The bioavailability of Fluticasone propionate can be decreased when combined with Magnesium oxide.
Sodium bicarbonate,Fluocinolone acetonide,The bioavailability of Fluocinolone acetonide can be decreased when combined with Sodium bicarbonate.
Pentobarbital,Hydrocortisone,The serum concentration of Hydrocortisone can be decreased when it is combined with Pentobarbital.
Rifaximin,Hydrocortisone,The serum concentration of Hydrocortisone can be increased when it is combined with Rifaximin.
Olopatadine,Hydrocortisone,The risk or severity of adverse effects can be increased when Olopatadine is combined with Hydrocortisone.
Magnesium salicylate,Hydrocortisone,The risk or severity of adverse effects can be increased when Magnesium salicylate is combined with Hydrocortisone.
Methyl salicylate,Fluorometholone,The risk or severity of adverse effects can be increased when Methyl salicylate is combined with Fluorometholone.
Ibuprofen,Oxyphenbutazone,The risk or severity of adverse effects can be increased when Ibuprofen is combined with Oxyphenbutazone.
Magnesium hydroxide,"Sodium phosphate, monobasic","The serum concentration of Sodium phosphate, monobasic can be decreased when it is combined with Magnesium hydroxide."
Salicylic acid,Methyclothiazide,The therapeutic efficacy of Methyclothiazide can be decreased when used in combination with Salicylic acid.
Romidepsin,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Romidepsin.
Fulvestrant,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Fulvestrant.
Diclofenac,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Diclofenac.
Pentoxifylline,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Pentoxifylline.
Amphetamine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Amphetamine.
Tadalafil,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Tadalafil.
Trifluoperazine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Trifluoperazine.
Deutetrabenazine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Deutetrabenazine.
Praziquantel,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Praziquantel.
Darifenacin,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Darifenacin.
Oxybutynin,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Oxybutynin.
Levonorgestrel,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Levonorgestrel.
Fenofibrate,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Fenofibrate.
Fluticasone propionate,Ketoconazole,The serum concentration of Ketoconazole can be increased when it is combined with Fluticasone propionate.
Cortisone acetate,Clemastine,The metabolism of Clemastine can be decreased when combined with Cortisone acetate.
Omeprazole,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Omeprazole.
Practolol,Nicotine,The risk or severity of adverse effects can be increased when Practolol is combined with Nicotine.
Donepezil,Nicotine,The risk or severity of adverse effects can be increased when Donepezil is combined with Nicotine.
Capsaicin,Nicotine,The metabolism of Nicotine can be decreased when combined with Capsaicin.
Magnesium hydroxide,Lovastatin,The serum concentration of Lovastatin can be decreased when it is combined with Magnesium hydroxide.
Acetaminophen,Voriconazole,The metabolism of Voriconazole can be decreased when combined with Acetaminophen.
Fluticasone propionate,Rucaparib,The metabolism of Rucaparib can be decreased when combined with Fluticasone propionate.
Hydrocortisone,Mifepristone,The serum concentration of Mifepristone can be increased when it is combined with Hydrocortisone.
Nicotine,Ivacaftor,The serum concentration of Ivacaftor can be increased when it is combined with Nicotine.
Hydrocortisone,Simeprevir,The serum concentration of Simeprevir can be increased when it is combined with Hydrocortisone.
Cortisone acetate,Ceritinib,The serum concentration of Ceritinib can be increased when it is combined with Cortisone acetate.
Omeprazole,Fusidic acid,The serum concentration of Fusidic acid can be increased when it is combined with Omeprazole.
Celiprolol,Salicylic acid,Celiprolol may decrease the antihypertensive activities of Salicylic acid.
Framycetin,Salicylic acid,Framycetin may decrease the excretion rate of Salicylic acid which could result in a higher serum level.
Carprofen,Ibuprofen,The risk or severity of adverse effects can be increased when Carprofen is combined with Ibuprofen.
Diclofenac,Ibuprofen,The risk or severity of adverse effects can be increased when Diclofenac is combined with Ibuprofen.
Benzocaine,Topiramate,The risk or severity of adverse effects can be increased when Benzocaine is combined with Topiramate.
Acetaminophen,Tranylcypromine,The metabolism of Tranylcypromine can be decreased when combined with Acetaminophen.
Esomeprazole,Cholecalciferol,The metabolism of Cholecalciferol can be decreased when combined with Esomeprazole.
Acetaminophen,Lumefantrine,The metabolism of Lumefantrine can be decreased when combined with Acetaminophen.
Vincristine,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Vincristine.
Trabectedin,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Trabectedin.
Chlorpropamide,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Chlorpropamide.
Saquinavir,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Saquinavir.
Esomeprazole,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Esomeprazole.
Enasidenib,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Enasidenib.
Haloperidol,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Haloperidol.
Nicotine,Armodafinil,The metabolism of Armodafinil can be decreased when combined with Nicotine.
Sodium bicarbonate,Fluvastatin,The serum concentration of Fluvastatin can be decreased when it is combined with Sodium bicarbonate.
Hydrocortisone,Dabigatran etexilate,The serum concentration of the active metabolites of Dabigatran etexilate can be increased when Dabigatran etexilate is used in combination with Hydrocortisone.
Lidocaine,Carteolol,The serum concentration of Carteolol can be increased when it is combined with Lidocaine.
Minoxidil,Captopril,The risk or severity of adverse effects can be increased when Minoxidil is combined with Captopril.
Dimenhydrinate,Brimonidine,Dimenhydrinate may increase the central nervous system depressant (CNS depressant) activities of Brimonidine.
Dimenhydrinate,Pramipexole,Dimenhydrinate may increase the sedative activities of Pramipexole.
Nitroglycerin,Papaverine,The risk or severity of adverse effects can be increased when Nitroglycerin is combined with Papaverine.
Bortezomib,Nitroglycerin,The risk or severity of adverse effects can be increased when Bortezomib is combined with Nitroglycerin.
Metolazone,Nitroglycerin,The risk or severity of adverse effects can be increased when Metolazone is combined with Nitroglycerin.
Nilvadipine,Nitroglycerin,The risk or severity of adverse effects can be increased when Nilvadipine is combined with Nitroglycerin.
Minoxidil,Amiloride,The risk or severity of adverse effects can be increased when Minoxidil is combined with Amiloride.
Procarbazine,Minoxidil,Procarbazine may increase the hypotensive activities of Minoxidil.
Nitroprusside,Minoxidil,The risk or severity of adverse effects can be increased when Nitroprusside is combined with Minoxidil.
Benzocaine,Methadyl acetate,The risk or severity of adverse effects can be increased when Benzocaine is combined with Methadyl acetate.
Loratadine,Levetiracetam,The risk or severity of adverse effects can be increased when Loratadine is combined with Levetiracetam.
Nitroglycerin,Prilocaine,The risk or severity of adverse effects can be increased when Nitroglycerin is combined with Prilocaine.
Benzocaine,Benzyl alcohol,The risk or severity of adverse effects can be increased when Benzocaine is combined with Benzyl alcohol.
Dapsone,Benzocaine,The risk or severity of adverse effects can be increased when Dapsone is combined with Benzocaine.
Remifentanil,Dimenhydrinate,The risk or severity of adverse effects can be increased when Remifentanil is combined with Dimenhydrinate.
Dexmedetomidine,Dimenhydrinate,The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Dimenhydrinate.
Fospropofol,Dimenhydrinate,The risk or severity of adverse effects can be increased when Fospropofol is combined with Dimenhydrinate.
Articaine,Dimenhydrinate,The risk or severity of adverse effects can be increased when Articaine is combined with Dimenhydrinate.
Remifentanil,Loratadine,The risk or severity of adverse effects can be increased when Remifentanil is combined with Loratadine.
Trazodone,Loratadine,The risk or severity of adverse effects can be increased when Trazodone is combined with Loratadine.
Lorazepam,Loratadine,The risk or severity of adverse effects can be increased when Lorazepam is combined with Loratadine.
Etidocaine,Loratadine,The risk or severity of adverse effects can be increased when Etidocaine is combined with Loratadine.
Lidocaine,Proparacaine,The risk or severity of adverse effects can be increased when Lidocaine is combined with Proparacaine.
Lidocaine,Trimipramine,The risk or severity of adverse effects can be increased when Lidocaine is combined with Trimipramine.
Bosentan,Lidocaine,The serum concentration of Lidocaine can be decreased when it is combined with Bosentan.
Tolvaptan,Lidocaine,The serum concentration of Lidocaine can be increased when it is combined with Tolvaptan.
Meprobamate,Lidocaine,The risk or severity of adverse effects can be increased when Meprobamate is combined with Lidocaine.
Almotriptan,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Almotriptan.
Tolnaftate,Perhexiline,The risk or severity of adverse effects can be increased when Tolnaftate is combined with Perhexiline.
Rosuvastatin,Acetaminophen,The serum concentration of Acetaminophen can be increased when it is combined with Rosuvastatin.
Acetaminophen,Theophylline,The metabolism of Theophylline can be decreased when combined with Acetaminophen.
Rifaximin,Caffeine,The serum concentration of Caffeine can be increased when it is combined with Rifaximin.
Ramelteon,Caffeine,The metabolism of Caffeine can be decreased when combined with Ramelteon.
Lenvatinib,Famotidine,Lenvatinib may increase the QTc-prolonging activities of Famotidine.
Lisdexamfetamine,Famotidine,Lisdexamfetamine may decrease the sedative activities of Famotidine.
Benzocaine,Tiapride,The risk or severity of adverse effects can be increased when Benzocaine is combined with Tiapride.
Minoxidil,Moxonidine,Minoxidil may increase the hypotensive activities of Moxonidine.
Acetylsalicylic acid,Methyl salicylate,The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Methyl salicylate.
Benazepril,Methyl salicylate,Benazepril may decrease the antihypertensive activities of Methyl salicylate.
Fluticasone propionate,Stanozolol,Fluticasone propionate may increase the fluid retaining activities of Stanozolol.
Cortisone acetate,Echothiophate,The risk or severity of adverse effects can be increased when Cortisone acetate is combined with Echothiophate.
Levofloxacin,Calcium carbonate,Levofloxacin can cause a decrease in the absorption of Calcium carbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Memantine,Calcium carbonate,The serum concentration of Calcium carbonate can be increased when it is combined with Memantine.
Cilnidipine,Magnesium hydroxide,The risk or severity of adverse effects can be increased when Cilnidipine is combined with Magnesium hydroxide.
Fluticasone propionate,Furosemide,Fluticasone propionate may increase the hypokalemic activities of Furosemide.
Salicylic acid,Deferasirox,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Deferasirox.
Salicylic acid,Cortisone acetate,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Cortisone acetate.
Nabumetone,Cortisone acetate,The risk or severity of adverse effects can be increased when Nabumetone is combined with Cortisone acetate.
Ibuprofen,Desoximetasone,The risk or severity of adverse effects can be increased when Ibuprofen is combined with Desoximetasone.
Salicylic acid,Formestane,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Formestane.
Tolcapone,Fluticasone propionate,The risk or severity of adverse effects can be increased when Tolcapone is combined with Fluticasone propionate.
Tromethamine,Fluticasone propionate,The bioavailability of Fluticasone propionate can be decreased when combined with Tromethamine.
Calcium carbonate,Prednicarbate,The bioavailability of Prednicarbate can be decreased when combined with Calcium carbonate.
Prucalopride,Hydrocortisone,The serum concentration of Hydrocortisone can be increased when it is combined with Prucalopride.
Resveratrol,Hydrocortisone,The risk or severity of adverse effects can be increased when Resveratrol is combined with Hydrocortisone.
Ketorolac,Hydrocortisone,The risk or severity of adverse effects can be increased when Ketorolac is combined with Hydrocortisone.
Ranolazine,Hydrocortisone,The serum concentration of Hydrocortisone can be increased when it is combined with Ranolazine.
Bismuth subcitrate potassium,Hydrocortisone,The bioavailability of Hydrocortisone can be decreased when combined with Bismuth subcitrate potassium.
Magnesium hydroxide,Hydrocortisone,The bioavailability of Hydrocortisone can be decreased when combined with Magnesium hydroxide.
Clotrimazole,Tolfenamic acid,The risk or severity of adverse effects can be increased when Clotrimazole is combined with Tolfenamic acid.
Ibuprofen,Clobetasone,The risk or severity of adverse effects can be increased when Ibuprofen is combined with Clobetasone.
Lidocaine,Cyclosporine,The metabolism of Cyclosporine can be decreased when combined with Lidocaine.
Omeprazole,Fluconazole,The serum concentration of Fluconazole can be increased when it is combined with Omeprazole.
Silodosin,Clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Silodosin.
Pazopanib,Clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Pazopanib.
Vindesine,Clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Vindesine.
Dacarbazine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Dacarbazine.
Irinotecan,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Irinotecan.
Asenapine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Asenapine.
Pitavastatin,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Pitavastatin.
Promazine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Promazine.
Fluphenazine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Fluphenazine.
Loratadine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Loratadine.
Levothyroxine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Levothyroxine.
Caffeine,Olaparib,The metabolism of Olaparib can be decreased when combined with Caffeine.
Cortisone acetate,Delavirdine,The metabolism of Delavirdine can be decreased when combined with Cortisone acetate.
Bisoprolol,Nicotine,The risk or severity of adverse effects can be increased when Bisoprolol is combined with Nicotine.
Lidocaine,Nefazodone,The metabolism of Nefazodone can be decreased when combined with Lidocaine.
Fluticasone propionate,Nilotinib,The metabolism of Nilotinib can be decreased when combined with Fluticasone propionate.
Sotalol,Salicylic acid,Sotalol may decrease the antihypertensive activities of Salicylic acid.
Warfarin,Salicylic acid,Warfarin may increase the anticoagulant activities of Salicylic acid.
Diflunisal,Salicylic acid,The risk or severity of adverse effects can be increased when Diflunisal is combined with Salicylic acid.
Metformin,Salicylic acid,Metformin may increase the hypoglycemic activities of Salicylic acid.
Celiprolol,Ibuprofen,Celiprolol may decrease the antihypertensive activities of Ibuprofen.
Amrubicin,Ibuprofen,Amrubicin may decrease the excretion rate of Ibuprofen which could result in a higher serum level.
Diflunisal,Ibuprofen,The risk or severity of adverse effects can be increased when Diflunisal is combined with Ibuprofen.
Chloroquine,Ibuprofen,The risk or severity of adverse effects can be increased when Chloroquine is combined with Ibuprofen.
Ibuprofen,Magnesium salicylate,The risk or severity of adverse effects can be increased when Ibuprofen is combined with Magnesium salicylate.
Nicotine,Topiramate,The metabolism of Topiramate can be decreased when combined with Nicotine.
Lidocaine,Mirabegron,The metabolism of Mirabegron can be decreased when combined with Lidocaine.
Acetaminophen,Clozapine,The metabolism of Clozapine can be decreased when combined with Acetaminophen.
Minoxidil,Irbesartan,The risk or severity of adverse effects can be increased when Minoxidil is combined with Irbesartan.
Acetaminophen,Aripiprazole,The serum concentration of Aripiprazole can be decreased when it is combined with Acetaminophen.
Esomeprazole,Efavirenz,The metabolism of Efavirenz can be decreased when combined with Esomeprazole.
Caffeine,Isoniazid,The metabolism of Isoniazid can be decreased when combined with Caffeine.
Acetaminophen,Citalopram,The metabolism of Citalopram can be decreased when combined with Acetaminophen.
Dimenhydrinate,Citalopram,The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Citalopram.
Ibuprofen,Valproic acid,The metabolism of Valproic acid can be decreased when combined with Ibuprofen.
Nicotine,Pantoprazole,The metabolism of Pantoprazole can be decreased when combined with Nicotine.
Colchicine,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Colchicine.
